Market,Make,VehicleAge,median_make_price_index,listing_count
US,Jeep,7,0.9466828594561127,806
US,Jeep,8,0.8190455779397057,610
US,Jeep,9,0.8519312282707053,337
US,Jeep,10,0.6831928370719627,188
US,Jeep,11,0.6866457112920894,318
US,Jeep,12,0.5235509834738296,273
US,Jeep,13,0.4281564032957089,193
US,Jeep,14,0.3805305519836167,129
US,Jeep,15,0.28551697861599273,97
US,Jeep,16,0.28063532885650333,48
US,Jeep,17,0.28444539696147064,36
US,Jeep,18,0.2804210125255989,16
US,Jeep,19,0.23789112730390055,27
US,Jeep,20,0.23789112730390055,18
US,Jeep,21,0.2522741344001524,9
US,Jeep,22,0.2833738153069486,11
Pakistan,Kia,1,1.1556864188443137,125
Pakistan,Kia,2,1.0820758189179243,261
Pakistan,Kia,3,1.026867868973132,413
Pakistan,Kia,4,0.9790209790209791,272
Pakistan,Kia,5,0.9532572690467427,54
Pakistan,Kia,6,1.1409642988590356,4
Pakistan,Kia,13,0.853882959146117,1
Pakistan,Kia,14,0.5476628634523372,1
Pakistan,Kia,16,0.4637467795362532,3
Pakistan,Kia,17,0.4619065145380935,2
Pakistan,Kia,18,0.17666543982333455,1
Pakistan,Kia,19,0.10158262789841738,6
Pakistan,Kia,20,0.20463746779536254,9
Pakistan,Kia,21,0.18108207581891791,16
Pakistan,Kia,22,0.10305483989694517,15
Pakistan,Kia,23,0.08317997791682002,22
Pakistan,Kia,24,0.08097165991902834,7
Pakistan,Kia,25,0.09937430990062569,1
Pakistan,Kia,27,0.08943687891056312,2
Pakistan,Kia,28,0.05925653294074347,10
Pakistan,Kia,29,0.17666543982333455,3
US,Kia,1,1.8030818491094658,15
US,Kia,2,1.2390767794009738,1919
US,Kia,3,1.0669068107531186,1399
US,Kia,4,1.0144753518777934,1926
US,Kia,5,0.9338936695350544,1379
US,Kia,6,0.7992795677406443,794
US,Kia,7,0.726302448135548,439
US,Kia,8,0.667000200120072,392
US,Kia,9,0.499566406510573,123
US,Kia,10,0.4294910279501034,70
US,Kia,11,0.3999066106330465,73
US,Kia,12,0.372890400907211,48
US,Kia,13,0.3334667467146955,31
US,Kia,14,0.3063838302981789,31
US,Kia,15,0.25345207124274566,14
US,Kia,16,0.22413448068841305,7
US,Kia,17,0.3301981188713228,5
US,Kia,18,0.26015609365619374,5
US,Kia,19,0.1664331932492829,4
US,Kia,20,0.21082649589753855,2
Pakistan,Land,2,23.055555555555557,1
